Prov.; Des.  ;   q   ;    Q     ; H     ;Epoch     ; M    ;Peri. ;Node   ;Incl. ; e     ; a      ;Opps.    ; Ref.      
2019;SS149  ;35.325;205.380; 6.22  ;20240331;352.4 ; 340.8;  94.6 ; 14.9 ;0.706 1;20.353;10;MPO724973  
2019;SO204  ;34.863;172.047; 7.07  ;20240331;343.1 ; 340.1; 119.7 ; 13.3 ;0.663 1;3.455;4;MPO735570  
2019;SK194  ;33.141;122.659; 7.17  ;20240331; 28.0 ; 165.6;  94.5 ; 12.7 ;575;77.900;( 67d)   ;MPO690787  
2019;SJ187  ;36.661;112.029; 6.47  ;20240331;319.3 ;  55.3;  21.1 ; 21.1 ;507;74.345;2;MPO665644  
2019;SH187  ;16.053;19.060;10.73  ;20240331;115.0 ; 125.5; 135.8 ; 15.0 ;86;17.556;3;MPO687913  
2019;QV110  ;36.363;41.032; 9.84  ;20240331;323.6 ; 279.1; 120.0 ;  2.2 ;60;38.698;3;MPO792228  
2019;QV109  ;33.427;106.763; 8.14  ;20240331;341.5 ;  50.1;   7.7 ;  7.4 ;523;70.095;3;MPO792225  
2019;QQ8    ;6.845;113.946;13.8   ;20240331;  4.1 ;  98.2; 206.9 ; 23.6 ;887;60.395;4;MPO554961  
2019;QP110  ;36.815;44.608; 9.65  ;20240331;299.9 ; 260.0; 167.7 ; 21.0 ;96;40.711;3;MPO792227  
2019;GW184  ;35.774;137.294; 8.84  ;20240331;354.3 ;  77.4; 139.3 ;  5.3 ;587;86.534;( 59d)   ;E2024-K42  
2019;GW183  ;33.898;66.095; 8.06  ;20240331;359.6 ;  27.1; 201.9 ;  7.7 ;322;49.997;( 36d)   ;MPO825137  
2019;GV184  ;30.576;167.944; 8.23  ;20240331;350.6 ;  87.2; 162.4 ; 11.8 ;692;99.260;( 58d)   ;E2024-K42  
2019;GT184  ;18.751;48.793; 7.11  ;20240331;200.0 ; 307.6;  48.9 ;  4.3 ;445;33.772;( 59d)   ;E2024-K42  
2019;GS185  ;28.701;62.868; 8.08  ;20240331; 54.3 ; 282.2; 171.7 ; 20.4 ;373;45.785;( 33d)   ;E2024-LD2  
2019;GR140  ;38.521;117.923; 7.68  ;20240331;  2.9 ; 133.5;  65.2 ;  1.2 ;508;78.222;(  9d)   ;MPO782573  
2019;GO140  ;32.741;40.379; 7.36  ;20240331; 92.7 ; 274.6; 188.6 ;  5.0 ;104;36.560;(  6d)   ;MPO750185  
2019;GN22   ;11.391;28.360;11.19  ;20240331;338.4 ; 259.8;  27.0 ;  9.1 ;427;19.875;5;E2024-BC2  
2019;GK183  ;33.727;111.424; 8.69  ;20240331; 24.0 ;  43.5;  89.9 ;  9.5 ;535;72.575;( 28d)   ;MPO825135  
2019;GH185  ;36.231;96.261; 8.83  ;20240331;  1.2 ; 130.1;  76.4 ;  9.3 ;453;66.246;3;E2024-L81  
2019;GG185  ;37.948;61.123; 8.78  ;20240331;337.9 ; 158.8;  85.6 ;  8.4 ;234;49.536;2;E2024-L81  
2019;GB143  ;36.583;44.807; 7.29  ;20240331; 69.7 ;  31.2;  93.8 ;  1.1 ;101;40.695;(  8d)   ;MPO705988  
2019;EX7    ;12.601;125.508; 8.59  ;20240331; 23.1 ;  33.2;  26.4 ; 10.7 ;818;69.055;( 33d)   ;E2024-LD2  
2019;EW7    ;15.240;59.397; 7.60  ;20240331; 84.0 ; 281.1; 120.4 ;  3.5 ;592;37.318;( 33d)   ;E2024-LD2  
2019;EV5    ;31.759;80.255; 7.55  ;20240331; 91.6 ; 295.3; 101.2 ;  8.8 ;433;56.007;3;MPO665461  
2019;ET5    ;38.913;66.316; 6.53  ;20240331; 92.5 ; 282.9; 134.5 ; 12.4 ;260;52.615;3;MPO665461  
2019;ER7    ;36.214;40.505; 7.01  ;20240331; 79.5 ;  99.7; 358.1 ; 34.0 ;56;38.359;3;E2024-K42  
2019;EQ7    ;31.698;104.526; 8.54  ;20240331; 17.2 ; 351.1; 140.4 ;  6.0 ;535;68.112;( 52d)   ;E2024-K42  
2019;EF6    ;22.081;213.880; 6.90  ;20240331;341.4 ; 189.7; 107.3 ;  8.6 ;0.813 1;17.980;( 29d)   ;MPO690697  
2019;EB5    ;35.988;68.988; 6.93  ;20240331;275.1 ; 342.7; 281.7 ;  8.1 ;314;52.488;2;MPO604181  
2019;EA5    ;38.410;102.340; 6.72  ;20240331; 51.8 ; 241.8; 159.3 ; 27.6 ;454;70.375;3;MPO604181  
2019;CZ30   ;27.909;76.474; 8.75  ;20240331;328.8 ; 249.9;  18.4 ; 14.8 ;465;52.192;( 59d)   ;E2024-LD2  
2019;CO30   ;12.171;51.458; 8.45  ;20240331;289.1 ; 322.0; 356.9 ; 16.4 ;617;31.815;( 32d)   ;E2024-K42  
2019;CN30   ;22.109;90.895;10.89  ;20240331;  9.8 ; 338.2; 170.2 ; 15.6 ;609;56.502;( 32d)   ;E2024-K42  
2019;CM30   ;28.068;60.291; 8.28  ;20240331;313.9 ; 203.7;  64.7 ;  2.4 ;365;44.180;( 32d)   ;E2024-K42  
2019;AU138  ;30.319;31.804; 7.85  ;20240331;120.6 ; 103.8; 290.4 ; 18.4 ;24;31.061;8;E2024-M25  
2019;AM122  ;17.069;30.162; 8.84  ;20240331;108.7 ;  76.2; 276.8 ; 27.0 ;277;23.615;3;MPO735480  
2019;AC77   ;35.799;79.202; 6.60  ;20240331;259.7 ;  65.8; 162.9 ; 12.0 ;377;57.500;3;MPO604163  
2018;VP137  ;34.422;77.136; 7.69  ;20240331;282.2 ; 325.8; 197.3 ;  9.1 ;383;55.779;2;MPO604127  
2018;VO35   ;35.536;154.798; 6.84  ;20240331;332.5 ; 309.7; 236.0 ; 18.7 ;627;95.167;2;MPO604101  
2018;VN35   ;34.503;136.958; 7.65  ;20240331; 30.6 ; 245.7;  91.0 ; 25.3 ;598;85.731;2;MPO604101  
2018;VN137  ;34.370;76.285; 7.49  ;20240331;292.2 ; 101.7;  53.0 ; 16.6 ;379;55.328;2;MPO604127  
2018;VJ137  ;37.769;146.046; 6.8   ;20240331;328.4 ; 300.1; 211.0 ; 18.6 ;589;91.907;2;MPO604126  
2018;VG18   ;38.971;125.152; 3.94  ;20240331;158.0 ;  17.7; 245.3 ; 24.1 ;525;82.062;5;MPO687843  
2018;MF13   ;30.836;51.517; 8.7   ;20240331;264.5 ; 314.3; 101.0 ;  3.1 ;251;41.176;3;MPO530615  
2018;JU6    ;38.052;64.519; 6.9   ;20240331;245.4 ; 276.6;  60.0 ;  5.9 ;258;51.285;2;MPO466941  
2018;GT12   ;33.538;158.448; 7.6   ;20240331;342.6 ;  76.3; 174.1 ; 15.6 ;651;95.993;2;MPO466937  
2018;AX18   ;37.665;67.334; 6.6   ;20240331;245.5 ;  20.7; 203.7 ; 20.5 ;283;52.500;3;MPO545072  
2018;AK39   ;27.770;75.368; 6.5   ;20240331;186.6 ; 216.6;  76.9 ; 15.4 ;462;51.569;3;MPO604016  
2018;AG37   ;28.037;134.472; 4.22  ;20240331;156.8 ; 241.6;  67.6 ; 18.5 ;655;81.255;3;MPO641000  
2018;AD39   ;38.695;300.444; 6.2   ;20240331; 14.2 ;  49.6; 330.0 ; 19.8 ;0.772 1;69.570;4;MPO604015  
2017;YG5    ;7.400;126.610;12.51  ;20240331;  2.6 ; 296.5; 201.9 ; 23.7 ;890;67.005;5;MPO687797  
2017;WW14   ;5.776;40.354;13.9   ;20240331; 21.0 ; 272.6; 127.5 ;  6.0 ;750;23.065;3;MPO466919  
2017;WH30   ;33.358;139.577; 6.75  ;20240331;333.3 ; 328.8; 200.6 ; 18.0 ;614;86.468;3;E2021-VR4  
2017;VO34   ;35.587;69.465; 7.3   ;20240331;254.5 ; 117.0;  80.4 ; 40.5 ;322;52.526;3;MPO545068  
2017;UX51   ;7.613;53.225;11.00  ;20240331;  3.4 ; 255.2; 217.7 ; 90.5 ;750;30.419;7;MPO704236  
2017;SN132  ;38.774;156.251; 5.8   ;20240331; 43.2 ; 156.5; 137.8 ; 24.2 ;602;97.513;3;MPO545059  
2017;SK381  ;35.275;42.297; 8.22  ;20240331;182.4 ; 188.0; 359.7 ; 13.3 ;91;38.786;( 49d)   ;E2024-LD2  
2017;SE279  ;37.136;259.908; 7.80  ;20240331;358.5 ; 137.2; 220.9 ; 11.9 ;0.750 1;48.522;4;MPO714508  
2017;QU131  ;36.976;64.419; 7.95  ;20240331; 31.5 ; 162.7; 172.7 ; 23.1 ;271;50.697;5;MPO645710  
2017;QF33   ;6.629;44.181;13.22  ;20240331; 14.5 ; 163.4; 188.1 ;  3.3 ;739;25.405;5;E2023-Y46  
2017;OR146  ;31.483;38.436; 8.96  ;20240331;193.9 ; 178.0; 316.8 ; 39.1 ;99;34.959;(  1d)   ;E2024-AE1  
2017;OK69   ;35.954;64.608; 5.90  ;20240331;240.1 ; 292.8; 154.7 ; 23.6 ;285;50.281;4;E2022-N78  
2017;NM2    ;5.526;23.653;13.4   ;20240331; 45.6 ;  89.6;  99.4 ;101.4 ;621;14.590;2;MPO451827  
2017;HQ108  ;31.634;114.359; 8.36  ;20240331;356.6 ; 284.8; 260.6 ;  9.5 ;567;72.997;3;E2024-K92  
2017;GY8    ;8.391;43.919;13.2   ;20240331; 21.1 ; 117.0;  56.5 ; 13.6 ;679;26.155;4;MPO545013  
2017;FQ161  ;34.499;60.419; 6.18  ;20240331;135.7 ;   4.2;  31.0 ;  8.3 ;273;47.459;4;MPO750185  
2017;FO161  ;34.168;85.066; 4.35  ;20240331;242.5 ; 151.6; 165.0 ; 54.3 ;427;59.617;9;E2024-F62  
2017;FD163  ;29.667;65.139; 6.9   ;20240331;134.0 ;  46.0; 323.1 ; 13.3 ;374;47.403;2;MPO466871  
2017;EW51   ;37.773;43.364; 8.44  ;20240331;317.3 ;  15.4; 194.7 ; 15.1 ;69;40.569;3;MPO824976  
2017;ES51   ;29.043;113.090; 9.20  ;20240331;  1.4 ; 301.0; 221.2 ; 13.7 ;591;71.066;4;MPO824975  
2017;EP53   ;25.921;96.391; 8.33  ;20240331; 32.1 ; 254.5; 168.3 ; 27.8 ;576;61.156;( 21d)   ;E2024-K42  
2017;EN53   ;26.423;50.296;10.27  ;20240331; 42.0 ; 212.5; 242.4 ;  7.8 ;311;38.359;( 37d)   ;E2024-LD5  
2017;EF53   ;37.015;122.134; 7.51  ;20240331;359.1 ; 222.2; 309.9 ; 31.1 ;535;79.574;4;E2024-K92  
2017;ED52   ;38.785;190.409; 7.98  ;20240331;  5.5 ; 284.6; 185.5 ; 23.0 ;0.662 1;14.597;4;MPO824977  
2017;DY166  ;35.677;87.087; 7.50  ;20240331;  8.9 ;   0.1; 179.5 ; 18.5 ;419;61.382;6;E2024-LC5  
2017;DW159  ;21.699;36.187; 9.86  ;20240331;173.3 ; 177.0; 165.7 ; 29.6 ;250;28.943;3;E2024-JM0  
2017;DV159  ;34.385;66.043; 7.21  ;20240331;152.1 ; 181.2; 167.4 ; 33.6 ;315;50.214;4;E2024-K36  
2017;DU165  ;26.048;82.084; 8.32  ;20240331; 42.1 ; 333.3; 122.6 ;  5.4 ;518;54.066;( 11d)   ;E2024-K42  
2017;DS165  ;38.454;43.022; 9.45  ;20240331;322.9 ; 270.5; 293.4 ; 14.4 ;56;40.738;3;E2024-K92  
2017;DR166  ;30.497;83.302; 7.69  ;20240331; 44.3 ;  14.4;  82.3 ;  4.4 ;464;56.899;( 24d)   ;E2024-L88  
2017;DP166  ;33.731;40.818; 8.50  ;20240331; 55.5 ;  53.4;  84.4 ;  5.8 ;95;37.274;( 11d)   ;E2024-L88  
2017;DP121  ;33.117;90.452; 7.3   ;20240331; 65.6 ; 288.9; 123.1 ; 14.0 ;464;61.784;2;MPO544997  
2017;DO166  ;36.956;44.766; 7.12  ;20240331; 50.7 ; 336.5; 163.1 ;  9.2 ;96;40.861;( 11d)   ;E2024-L88  
2017;DO121  ;26.708;327.783; 7.6   ;20240331;352.1 ; 150.9;  98.2 ; 16.0 ;0.849 1;77.246;2;MPO445081  
2017;DN164  ;35.404;39.913; 9.50  ;20240331;215.5 ; 128.8; 180.1 ; 20.6 ;60;37.658;3;MPO824971  
2017;DK163  ;36.534;99.889; 7.99  ;20240331;331.3 ; 307.3; 285.3 ; 11.6 ;464;68.212;2;MPO824967  
2017;DK160  ;35.583;76.179; 8.16  ;20240331; 18.8 ; 348.4; 174.8 ; 17.4 ;363;55.881;3;MPO824956  
2017;DF165  ;33.163;41.515; 8.81  ;20240331;192.8 ; 279.6;  87.9 ;  3.7 ;112;37.339;(  2d)   ;MPO824973  
2017;DF156  ;35.438;60.308; 9.13  ;20240331; 56.9 ; 171.8; 264.2 ; 10.1 ;260;47.873;4;E2024-K43  
2017;DE165  ;23.674;86.974; 9.13  ;20240331;339.9 ; 228.8;  42.9 ;  5.3 ;572;55.324;( 31d)   ;MPO824973  
2017;DE157  ;33.012;127.409; 8.05  ;20240331;354.0 ; 256.3; 298.2 ; 17.5 ;588;80.211;4;E2024-K25  
2017;DD165  ;33.580;197.399; 8.81  ;20240331;  1.8 ;  42.5; 149.4 ;  4.8 ;0.709 1;15.489;( 11d)   ;MPO824973  
2017;CZ57   ;29.232;36.105; 8.96  ;20240331;189.7 ; 152.8; 173.8 ; 25.8 ;105;32.669;( 11d)   ;E2024-L88  
2017;CX57   ;17.569;31.672;12.37  ;20240331; 43.3 ;  65.4;  79.2 ;  4.3 ;286;24.621;( 24d)   ;E2024-L81  
2017;CL54   ;35.992;381.062; 7.69  ;20240331;  0.5 ; 315.3; 201.6 ; 14.9 ;0.827 2;8.527;5;MPO824948  
2017;CG56   ;19.164;76.277;11.61  ;20240331;  2.4 ; 255.9; 283.2 ; 15.5 ;598;47.721;( 37d)   ;MPO824954  
2017;CF56   ;22.178;84.719;10.75  ;20240331;357.2 ; 279.3; 274.4 ; 14.5 ;585;53.448;( 39d)   ;MPO824954  
2017;CC56   ;33.026;61.771; 9.20  ;20240331; 33.4 ; 172.7; 293.8 ; 15.7 ;303;47.398;3;MPO824954  
2017;CB56   ;38.527;113.115; 8.56  ;20240331;347.8 ;  29.9; 170.5 ; 33.2 ;492;75.821;3;MPO824954  
2017;BZ236  ;31.972;165.362; 9.29  ;20240331;  7.8 ; 331.6; 181.1 ; 18.6 ;676;98.667;( 26d)   ;MPO824946  
2017;BZ232  ;38.332;99.461; 8.49  ;20240331; 18.3 ; 302.5; 161.2 ; 45.6 ;444;68.896;( 69d)   ;MPO824931  
2017;BW236  ;24.662;287.890; 8.79  ;20240331;  7.0 ;   8.3;  96.0 ;  2.1 ;0.842 1;56.276;( 35d)   ;E2024-LD5  
2017;BV236  ;35.992;45.043; 8.69  ;20240331;165.0 ; 217.9; 169.3 ;  7.4 ;112;40.517;( 26d)   ;MPO824945  
2017;BU236  ;34.718;43.113; 8.50  ;20240331;218.0 ; 330.8;  13.9 ; 22.4 ;108;38.916;( 24d)   ;MPO824945  
2017;BS237  ;34.925;114.643; 8.33  ;20240331; 22.6 ; 272.8; 173.4 ; 19.6 ;533;74.784;3;E2024-K92  
2017;BP239  ;34.594;43.238; 7.84  ;20240331;174.2 ; 232.4; 146.5 ;  4.6 ;111;38.916;(  5d)   ;E2024-L88  
2017;BP236  ;33.438;36.938; 8.50  ;20240331; 44.3 ; 287.1; 187.5 ; 18.4 ;50;35.188;3;MPO824945  
2017;BO239  ;33.798;41.569; 6.54  ;20240331;218.4 ;  92.6; 210.8 ; 14.7 ;103;37.684;( 11d)   ;E2024-L88  
2017;BO237  ;23.405;115.438; 8.52  ;20240331;343.2 ;  24.2; 217.3 ; 13.7 ;663;69.421;( 39d)   ;E2024-K42  
2017;BM239  ;36.479;45.146; 8.57  ;20240331;110.8 ;  22.5;  50.8 ;  6.3 ;106;40.813;( 24d)   ;E2024-L88  
2017;BL232  ;35.533;79.833; 6.08  ;20240331;309.5 ; 265.1;  22.1 ;  5.8 ;384;57.683;3;MPO824929  
2017;BL231  ;37.059;100.926; 7.39  ;20240331;346.6 ;  22.8; 173.2 ; 29.6 ;463;68.992;4;MPO824926  
2017;BK235  ;36.705;93.032; 7.59  ;20240331;313.2 ;  58.5; 195.0 ; 11.9 ;434;64.869;2;MPO824940  
2017;BK230  ;31.574;60.250; 9.60  ;20240331;317.9 ;  36.0; 198.0 ; 13.4 ;312;45.912;2;E2024-JA9  
2017;BJ239  ;19.8829;256.131; 8.91  ;20240331;360.0 ; 103.0; 178.8 ; 23.1 ;0.99646;38.006;( 31d)   ;E2024-L81  
2017;BH239  ;29.951;37.004; 9.71  ;20240331;110.7 ; 207.4; 189.6 ; 16.9 ;105;33.478;( 34d)   ;E2024-L81  
2017;BH237  ;35.916;72.951; 8.84  ;20240331; 53.3 ; 210.9; 215.3 ;  9.9 ;340;54.433;2;E2024-K92  
2017;BG237  ;35.168;85.623;10.15  ;20240331;  7.5 ; 227.8; 278.0 ; 12.4 ;418;60.395;( 99d)   ;E2024-LD2  
2017;BD230  ;33.637;73.585; 8.36  ;20240331; 58.4 ; 224.0; 192.3 ; 12.8 ;373;53.611;2;MPO810793  
2016;YY39   ;20.844;36.997;10.05  ;20240331; 98.9 ; 149.2; 246.0 ; 13.4 ;279;28.920;3;MPO824918  
2016;YB39   ;35.711;76.279; 8.76  ;20240331; 36.2 ; 145.7; 305.0 ; 22.3 ;362;55.995;2;E2024-K92  
2016;YA39   ;30.338;63.528; 9.12  ;20240331; 10.5 ; 236.9; 268.5 ; 11.6 ;354;46.933;4;E2024-H40  
2016;WY85   ;23.087;186.255; 7.94  ;20240331;353.6 ;   7.3; 216.4 ; 14.3 ;0.779 1;4.671;( 65d)   ;E2024-LD2  
2016;VF1    ;6.864;9.243;13.7   ;20240331; 92.6 ; 352.1;  93.0 ; 22.5 ;148;8.054;5;MPO544965  
2016;UP273  ;31.629;138.712; 8.94  ;20240331;  0.7 ; 325.8;  78.4 ; 14.0 ;629;85.171;4;MPO655706  
2016;TY94   ;36.861;61.976; 7.11  ;20240331;  5.5 ; 279.4; 108.8 ; 25.7 ;254;49.419;5;MPO650304  
2016;TS97   ;37.279;71.601; 6.1   ;20240331;196.7 ;  63.9; 146.2 ; 32.2 ;315;54.440;2;MPO444983  
2016;TM176  ;32.617;74.932; 7.52  ;20240331; 26.1 ; 284.5;  33.5 ; 16.5 ;393;53.774;4;MPO724745  
2016;TA95   ;35.901;105.476; 7.46  ;20240331;  6.1 ; 250.5; 133.1 ; 25.5 ;492;70.689;4;MPO655670  
2016;SY105  ;33.865;57.669; 8.44  ;20240331;355.8 ; 262.5;  65.3 ; 26.4 ;260;45.767;4;MPO655655  
2016;SX105  ;35.157;67.286; 7.83  ;20240331;  2.3 ; 313.1;  74.0 ; 36.0 ;314;51.222;6;MPO655654  
2016;SW50   ;35.860;112.958; 8.7   ;20240331;  1.7 ; 334.0;  61.1 ; 32.4 ;518;74.409;2;MPO444959  
2016;SW105  ;29.444;43.528; 7.73  ;20240331;251.6 ;  70.5;  18.3 ; 30.3 ;193;36.486;4;MPO655654  
2016;SV58   ;32.951;57.874; 8.03  ;20240331;345.2 ; 304.9; 132.6 ; 13.6 ;274;45.412;6;E2024-GB3  
2016;SU56   ;38.209;82.382; 7.96  ;20240331;350.7 ; 346.3;  77.4 ; 19.1 ;366;60.296;3;MPO655654  
2016;SU55   ;37.235;39.287; 7.93  ;20240331;148.4 ; 187.8;  61.5 ; 27.7 ;27;38.261;7;MPO650297  
2016;SS55   ;38.464;109.912; 6.65  ;20240331; 22.0 ; 158.9; 182.7 ; 28.4 ;482;74.188;6;MPO650297  
2016;SS46   ;30.551;51.570; 8.74  ;20240331;355.8 ; 282.3; 142.2 ; 15.0 ;256;41.060;4;MPO660501  
2016;SR58   ;35.494;127.140; 7.77  ;20240331;  8.8 ; 313.5;  60.1 ; 28.9 ;564;81.317;5;MPO655654  
2016;SR105  ;19.597;74.740; 8.39  ;20240331;338.5 ;   6.6; 122.3 ; 18.7 ;585;47.169;3;MPO645556  
2016;SQ58   ;32.333;40.996; 7.94  ;20240331; 28.8 ; 201.8; 170.0 ; 22.7 ;118;36.665;6;MPO650298  
2016;SP56   ;37.019;63.250; 6.43  ;20240331;324.6 ;  29.2;  75.3 ; 20.0 ;262;50.135;7;E2023-Y46  
2016;SO56   ;37.993;88.796; 7.38  ;20240331; 30.2 ; 175.2; 164.2 ; 16.3 ;401;63.395;6;MPO655653  
2016;SJ58   ;31.671;56.559; 8.83  ;20240331;352.1 ; 344.8;  81.3 ; 20.6 ;282;44.115;5;MPO645542  
2016;SJ57   ;33.904;39.398; 7.45  ;20240331;356.3 ; 270.2; 145.0 ; 15.3 ;75;36.651;6;E2024-F84  
2016;SJ105  ;35.928;40.217; 8.08  ;20240331;238.2 ;   7.9; 171.0 ; 21.4 ;56;38.073;5;MPO645555  
2016;SG58   ;35.114;466.108; 7.5   ;20240331;359.9 ; 296.2; 119.0 ; 13.2 ;0.860 2;50.611;6;MPO660785  
2016;SE56   ;31.061;110.743; 7.17  ;20240331;  3.0 ; 219.0; 175.0 ; 26.8 ;562;70.902;16;E2024-L94  
2016;SA56   ;36.204;64.199; 7.22  ;20240331;348.6 ; 282.0; 145.0 ; 16.6 ;279;50.202;6;MPO650297  
2016;RW82   ;38.153;67.426; 6.68  ;20240331;332.6 ; 321.1;  38.4 ; 28.2 ;277;52.790;5;MPO655646  
2016;RO100  ;35.594;68.246; 9.33  ;20240331;348.6 ;  83.5; 306.0 ;  6.6 ;314;51.920;( 37d)   ;E2024-L10  
2016;RN82   ;32.774;188.147; 7.92  ;20240331;  0.1 ; 265.2; 115.0 ; 24.4 ;0.703 1;10.460;2;MPO655645  
2016;RL82   ;36.694;70.598; 7.96  ;20240331;352.9 ; 354.1;  62.6 ; 23.0 ;316;53.646;4;E2024-F84  
2016;RJ82   ;34.874;42.588; 7.81  ;20240331;291.9 ; 348.9;  79.8 ; 55.9 ;100;38.731;4;MPO655644  
2016;RF82   ;36.088;95.674; 7.92  ;20240331;354.3 ; 273.8; 109.9 ; 39.4 ;452;65.881;5;MPO655644  
2016;QP134  ;34.475;155.676; 6.44  ;20240331;344.6 ; 269.5; 171.5 ; 24.4 ;637;95.075;4;MPO645526  
2016;QO134  ;30.920;57.295; 8.78  ;20240331; 24.3 ; 174.1; 174.5 ; 16.9 ;299;44.108;5;E2023-Y63  
2016;QF86   ;14.638;27.713; 8.31  ;20240331;227.9 ; 226.3; 275.1 ; 13.7 ;309;21.176;4;MPO782299  
2016;QF135  ;36.607;61.665; 7.00  ;20240331;  3.5 ; 333.7;  48.8 ; 27.6 ;255;49.136;5;MPO724734  
2016;QB135  ;29.883;36.864; 8.34  ;20240331;227.6 ; 322.1; 192.1 ; 15.0 ;105;33.374;4;E2023-Y06  
2016;PU219  ;36.549;40.590; 8.30  ;20240331;304.9 ;  55.2;  39.4 ; 35.0 ;52;38.570;5;E2023-Y63  
2016;PL220  ;31.317;125.320; 8.78  ;20240331;  0.3 ; 296.8;  74.7 ; 29.0 ;600;78.318;4;MPO655603  
2016;PK220  ;37.947;62.723; 7.62  ;20240331; 51.5 ; 260.0;  51.9 ; 42.3 ;246;50.335;5;E2024-AG5  
2016;PA101  ;36.798;44.586; 8.2   ;20240331;328.1 ; 347.8;  91.5 ; 20.4 ;96;40.692;2;MPO444799  
2016;LW88   ;36.077;37.589; 9.3   ;20160601;360.0 ;  75.4; 168.8 ; 39.0 ;21;36.833;(  1d)   ;MPO640817  
2016;LV90   ;31.975;34.480; 8.7   ;20160601;360.0 ;   0.7; 242.6 ; 25.7 ;38;33.228;(  1d)   ;MPO640818  
2016;LV89   ;37.112;39.405; 8.5   ;20160601; 14.4 ; 163.2;  63.5 ; 26.4 ;30;38.259;(  1d)   ;MPO640817  
2016;LU90   ;34.822;36.467; 9.3   ;20160601;360.0 ;  98.9; 142.2 ; 20.2 ;23;35.644;(  1d)   ;MPO640818  
2016;LS89   ;34.565;36.190; 9.6   ;20160601;360.0 ;  61.4; 181.3 ;  9.9 ;23;35.378;(  1d)   ;MPO640817  
2016;LS     ;5.267;21.462;13.3   ;20240331; 67.3 ; 141.5; 117.7 ;114.3 ;606;13.365;2;MPO473443  
2016;LR89   ;33.860;35.919; 9.7   ;20160601;360.0 ;  76.0; 165.8 ;  8.2 ;30;34.890;(  1d)   ;MPO640817  
2016;LR88   ;19.558;38.149;11.1   ;20160601;359.9 ; 103.9; 123.9 ; 55.3 ;322;28.853;(  1d)   ;MPO640817  
2016;LQ88   ;35.086;41.144; 7.92  ;20240331;339.5 ; 152.6; 123.1 ; 23.8 ;79;38.115;5;E2024-K92  
2016;LP90   ;32.794;33.927; 9.5   ;20160601;360.0 ; 173.1;  69.4 ;  8.0 ;17;33.360;(  1d)   ;MPO640818  
2016;LP89   ;36.123;38.000; 9.6   ;20160601;360.0 ;   1.6; 241.1 ; 11.6 ;25;37.061;(  1d)   ;MPO640817  
2016;LO89   ;11.959;14.323;13.6   ;20160601;359.8 ;  41.8; 206.9 ; 40.3 ;90;13.141;(  1d)   ;MPO640817  
2016;LM90   ;33.892;35.747; 9.7   ;20160601;360.0 ;  83.9; 157.2 ; 21.2 ;27;34.820;(  1d)   ;MPO640818  
2016;LK90   ;15.171;17.612;13.0   ;20160601;359.9 ; 166.5;  74.9 ; 32.6 ;74;16.392;(  1d)   ;MPO640818  
2016;LJ89   ;32.207;34.795;10.2   ;20160601;360.0 ;  44.6; 198.2 ; 10.5 ;39;33.501;(  1d)   ;MPO640817  
2016;LH89   ;37.585;39.916; 8.8   ;20160601;360.0 ;  87.6; 153.1 ; 24.1 ;30;38.750;(  1d)   ;MPO640817  
2016;LG90   ;36.092;38.453; 9.3   ;20160601;360.0 ; 180.2;  62.1 ; 24.7 ;32;37.272;(  1d)   ;MPO640817  
2016;LF89   ;19.881;21.844;10.7   ;20160601; 33.5 ;  80.2; 116.7 ; 44.3 ;47;20.863;(  1d)   ;MPO640817  
2016;LA89   ;36.796;39.795; 9.3   ;20160601;360.0 ;   2.5; 239.9 ; 20.5 ;39;38.295;(  1d)   ;MPO640817  
2016;GZ276  ;38.487;244.434; 7.00  ;20240331;346.1 ; 220.5;  76.3 ; 22.0 ;0.728 1;41.461;3;E2020-L19  
2016;GZ251  ;10.140;25.458;11.1   ;20240331; 71.6 ;  84.9;  37.4 ; 29.4 ;430;17.799;7;MPO473440  
2016;GC241  ;13.809;29.321;11.1   ;20240331; 42.1 ; 182.6; 330.0 ;  4.2 ;360;21.565;8;MPO473636  
2016;GA277  ;35.797;268.167; 7.6   ;20240331;350.5 ; 179.0; 112.8 ; 19.4 ;0.764 1;51.982;3;E2020-L26  
2016;FX58   ;38.706;69.641; 5.81  ;20240331;273.6 ; 328.9; 332.0 ; 23.0 ;286;54.174;5;E2024-H69  
2016;FO59   ;36.636;76.688; 7.48  ;20240331; 17.2 ; 316.6; 202.5 ; 19.3 ;353;56.662;4;MPO824855  
2016;FN59   ;35.635;80.288; 6.81  ;20240331; 21.0 ; 278.5; 229.4 ;  5.8 ;385;57.961;10;E2024-M18  
2016;FK59   ;26.012;57.700;10.0   ;20160313;359.9 ; 197.2; 347.9 ; 27.6 ;379;41.856;(  4d)   ;MPO377944  
2016;FE60   ;33.953;41.152; 7.51  ;20240331;302.6 ;  28.3; 235.5 ; 10.1 ;96;37.552;( 12d)   ;MPO704064  
2016;FD14   ;10.515;32.367;12.1   ;20240331; 30.0 ; 325.0; 216.4 ; 20.0 ;510;21.441;6;MPO473636  
2016;FA59   ;31.517;39.273; 7.69  ;20240331;187.4 ;  23.0; 339.5 ; 25.6 ;110;35.395;( 13d)   ;MPO725958  
2016;CN323  ;34.966;160.438; 7.1   ;20240331;340.2 ; 271.5; 295.5 ; 13.1 ;642;97.702;3;MPO466800  
